"genus","family","order"
"Peltanthera","Gesneriaceae","Lamiales"
"Brachynema","Olacaceae","Santalales"
"Buddleia","Scrophulariaceae","Lamiales"
"Berendtiella","Phrymaceae","Lamiales"
"Diplacus","Phrymaceae","Lamiales"
"Elacholoma","Phrymaceae","Lamiales"
"Erythranthe","Phrymaceae","Lamiales"
"Glossostigma","Phrymaceae","Lamiales"
"Hemichaena","Phrymaceae","Lamiales"
"Lancea","Mazaceae","Lamiales"
"Leucocarpus","Phrymaceae","Lamiales"
"Mazus","Mazaceae","Lamiales"
"Microcarpaea","Phrymaceae","Lamiales"
"Mimetanthe","Phrymaceae","Lamiales"
"Mimulus","Phrymaceae","Lamiales"
"Peplidium","Phrymaceae","Lamiales"
"Phryma","Phrymaceae","Lamiales"
"Thyridia","Phrymaceae","Lamiales"
"Uvedalia","Phrymaceae","Lamiales"
"Elaeodendron","Celastraceae","Celastrales"
"Pholisma","Boraginaceae",""
"Metteniusa","Metteniusaceae",""
"Anacolosa","Aptandraceae","Santalales"
"Aptandra","Aptandraceae","Santalales"
"Cathedra","Aptandraceae","Santalales"
"Chaunochiton","Aptandraceae","Santalales"
"Harmandia","Aptandraceae","Santalales"
"Hondurodendron ","Aptandraceae","Santalales"
"Ongokea","Aptandraceae","Santalales"
"Phanerodiscus","Aptandraceae","Santalales"
"Coula","Coulaceae","Santalales"
"Minquartia","Coulaceae","Santalales"
"Ochanostachys","Coulaceae","Santalales"
"Erythropalum","Erythropalaceae","Santalales"
"Heisteria","Erythropalaceae","Santalales"
"Maburea","Erythropalaceae","Santalales"
"Actinanthella","Loranthaceae","Santalales"
"Ileostylus","Loranthaceae","Santalales"
"Lampas","Loranthaceae","Santalales"
"Aetanthus","Loranthaceae","Santalales"
"Ixocactus","Loranthaceae","Santalales"
"Lepeostegeres","Loranthaceae","Santalales"
"Agelanthus","Loranthaceae","Santalales"
"Lepidaria","Loranthaceae","Santalales"
"Alepis","Loranthaceae","Santalales"
"Ligaria","Loranthaceae","Santalales"
"Notanthera","Loranthaceae","Santalales"
"Phthirusa","Loranthaceae","Santalales"
"Plicosepalus","Loranthaceae","Santalales"
"Psittacanthus","Loranthaceae","Santalales"
"Scurrula","Loranthaceae","Santalales"
"Spragueanella","Loranthaceae","Santalales"
"Trilepidea","Loranthaceae","Santalales"
"Amyema","Loranthaceae","Santalales"
"Loranthus","Loranthaceae","Santalales"
"Nuytsia","Loranthaceae","Santalales"
"Septulina","Loranthaceae","Santalales"
"Struthanthus","Loranthaceae","Santalales"
"Tripodanthus","Loranthaceae","Santalales"
"Amylotheca","Loranthaceae","Santalales"
"Loxanthera","Loranthaceae","Santalales"
"Oedina","Loranthaceae","Santalales"
"Socratina","Loranthaceae","Santalales"
"Tapinanthus","Loranthaceae","Santalales"
"Tristerix","Loranthaceae","Santalales"
"Atkinsonia","Loranthaceae","Santalales"
"Lysiana","Loranthaceae","Santalales"
"Oliverella","Loranthaceae","Santalales"
"Sogerianthe","Loranthaceae","Santalales"
"Taxillus","Loranthaceae","Santalales"
"Tupeia","Loranthaceae","Santalales"
"Bakerella","Loranthaceae","Santalales"
"Macrosolen","Loranthaceae","Santalales"
"Oncella","Loranthaceae","Santalales"
"Thaumasianthes","Loranthaceae","Santalales"
"Vanwykia","Loranthaceae","Santalales"
"Barathranthus","Loranthaceae","Santalales"
"Moquiniella","Loranthaceae","Santalales"
"Oncocalyx","Loranthaceae","Santalales"
"Tolypanthus","Loranthaceae","Santalales"
"Misodendrum","Misodendraceae","Santalales"
"Benthamina","Loranthaceae","Santalales"
"Muellerina","Loranthaceae","Santalales"
"Oryctanthus","Loranthaceae","Santalales"
"Octoknema","Octoknemaceae","Santalales"
"Berhautia","Loranthaceae","Santalales"
"Oryctina","Loranthaceae","Santalales"
"Dulacia","Olacaceae","Santalales"
"Cecarria","Loranthaceae","Santalales"
"Panamanthus","Loranthaceae","Santalales"
"Engomegoma","Strombosiaceae","Santalales"
"Cladocolea","Loranthaceae","Santalales"
"Papuanthes","Loranthaceae","Santalales"
"Lavallea","Olacaceae","Santalales"
"Cyne","Loranthaceae","Santalales"
"Pedistylis","Loranthaceae","Santalales"
"Olax","Olacaceae","Santalales"
