number.of.species,genus,family,apweb.family,order,group
2,Acorus,Acoraceae,Acoraceae,Acorales,Angiosperms
1,Albidella,Alismataceae,Alismataceae,Alismatales,Angiosperms
8,Alisma,Alismataceae,Alismataceae,Alismatales,Angiosperms
1,Astonia,Alismataceae,Alismataceae,Alismatales,Angiosperms
3,Baldellia,Alismataceae,Alismataceae,Alismatales,Angiosperms
1,Burnatia,Alismataceae,Alismataceae,Alismatales,Angiosperms
1,Butomopsis,Alismataceae,Alismataceae,Alismatales,Angiosperms
5,Caldesia,Alismataceae,Alismataceae,Alismatales,Angiosperms
6,Damasonium,Alismataceae,Alismataceae,Alismatales,Angiosperms
30,Echinodorus,Alismataceae,Alismataceae,Alismatales,Angiosperms
3,Helanthium,Alismataceae,Alismataceae,Alismatales,Angiosperms
5,Hydrocleys,Alismataceae,Alismataceae,Alismatales,Angiosperms
2,Limnocharis,Alismataceae,Alismataceae,Alismatales,Angiosperms
3,Limnophyton,Alismataceae,Alismataceae,Alismatales,Angiosperms
1,Luronium,Alismataceae,Alismataceae,Alismatales,Angiosperms
4,Ranalisma,Alismataceae,Alismataceae,Alismatales,Angiosperms
39,Sagittaria,Alismataceae,Alismataceae,Alismatales,Angiosperms
3,Wiesneria,Alismataceae,Alismataceae,Alismatales,Angiosperms
57,Aponogeton,Aponogetonaceae,Aponogetonaceae,Alismatales,Angiosperms
1,Ouvirandra,Aponogetonaceae,Aponogetonaceae,Alismatales,Angiosperms
1,Aglaodorum,Araceae,Araceae,Alismatales,Angiosperms
22,Aglaonema,Araceae,Araceae,Alismatales,Angiosperms
2,Alloschemone,Araceae,Araceae,Alismatales,Angiosperms
80,Alocasia,Araceae,Araceae,Alismatales,Angiosperms
1,Ambrosina,Araceae,Araceae,Alismatales,Angiosperms
198,Amorphophallus,Araceae,Araceae,Alismatales,Angiosperms
5,Amydrium,Araceae,Araceae,Alismatales,Angiosperms
12,Anadendrum,Araceae,Araceae,Alismatales,Angiosperms
3,Anaphyllopsis,Araceae,Araceae,Alismatales,Angiosperms
2,Anaphyllum,Araceae,Araceae,Alismatales,Angiosperms
6,Anchomanes,Araceae,Araceae,Alismatales,Angiosperms
923,Anthurium,Araceae,Araceae,Alismatales,Angiosperms
8,Anubias,Araceae,Araceae,Alismatales,Angiosperms
12,Apoballis,Araceae,Araceae,Alismatales,Angiosperms
10,Aridarum,Araceae,Araceae,Alismatales,Angiosperms
2,Ariopsis,Araceae,Araceae,Alismatales,Angiosperms
180,Arisaema,Araceae,Araceae,Alismatales,Angiosperms
