,family,genus,group,number.of.accepted.species,number.of.accepted.and.unresolved.species
Schroeterella,Sematophyllaceae,Schroeterella,Bryophytes,2,2
Adelanthus,Adelanthaceae,Adelanthus,Bryophytes,10,10
Myrinia,Fabroniaceae,Myrinia,Bryophytes,4,4
Leptecophylla,Ericaceae,Leptecophylla,Angiosperms,0,13
Acrothamnus,Ericaceae,Acrothamnus,Angiosperms,0,6
Androstoma,Ericaceae,Androstoma,Angiosperms,0,2
Austroderia,Poaceae,Austroderia,Angiosperms,0,5
Calamphoreus,Scrophulariaceae,Calamphoreus,Angiosperms,0,1
Eufragia,Orobanchaceae,Eufragia,Angiosperms,0,6
Diocirea,Scrophulariaceae,Diocirea,Angiosperms,0,4
Petesioides,Primulaceae,Petesioides,Angiosperms,0,7
Robsonodendron,Celastraceae,Robsonodendron,Angiosperms,0,2
Tetracarpaea,Tetracarpaeaceae,Tetracarpaea,Angiosperms,0,1
