genus,family
Asteriscium,Compositae
Benthamia,Boraginaceae
Brodiaea,Amaryllidaceae
Bridgesia,Cactaceae
Brodiaea,Amaryllidaceae
Bulbostylis,Compositae
Heeria,Melastomataceae
Holboellia,Berberidaceae
Humboldtia,Orchidaceae
Isoloma,Lindsaeaceae
Laxmannia,Compositae
Lepidostemon,Convolvulaceae
Myrmecophila,Polypodiaceae
Oreocallis,Ericaceae
Parsonsia,Lythraceae
Pseudogaltonia,Liliaceae
Schmidtia,Compositae
Swartzia,Solanaceae
Thomandersia,Schlegeliaceae
Washingtonia,Apiaceae
Malacocarpus,Cactaceae
Limnobium,Amblystegiaceae
Pleuridium,Archidiaceae
Grimaldia,Aytoniaceae
Burnettia,Brachytheciaceae
Pancovia,Brachytheciaceae
Lamprophyllum,Bryaceae
Zieria,Bryaceae
Amblytropis,Daltoniaceae
Solmsia,Dicranaceae
Cynodon,Ditrichaceae
Swartzia,Ditrichaceae
Leersia,Encalyptaceae
Cuspidaria,Entodontaceae
Micromitrium,Ephemeraceae
Polypodiopsis,Fissidentaceae
Corynotheca,Funariaceae
Microstegium,Funariaceae
Harrisonia,Hedwigiaceae
Harveya,Hookeriaceae
Hypopterygium,Hookeriaceae
Ctenium,Hypnaceae
Massularia,Jungermanniaceae
Cladocolea,Lejeuneaceae
Lasia,Leptodontaceae
Hygrophila,Marchantiaceae
Mastigophora,Lepicoleaceae
Coelidium,Meteoriaceae
Tricholepis,Meteoriaceae
Mnium,Calypogeiaceae
Distichia,Neckeraceae
Craspedophyllum,Orthotrichaceae
Oxymitra,Annonaceae
Blyttia,Pallaviciniaceae
Asteriscium,Pottiaceae
Mollia,Pottiaceae
Pachyneurum,Pottiaceae
Esenbeckia,Pterobryaceae
Brachypodium,Ptychomitriaceae
Acanthocladium,Sematophyllaceae
Rauia,Thuidiaceae
Acanthodium,Acanthaceae
Acosta,Compositae
Adelia,Oleaceae
Alliaria,Meliaceae
Anacampseros,Crassulaceae
Arthraxon,Loranthaceae
Balbisia,Compositae
Bartonia,Loasaceae
Bassia,Sapotaceae
Benthamia,Cornaceae
Blechum,Blechnaceae
Brachyloma,Gesneriaceae
Brocchia,Simmondsiaceae
Brugmansia,Rafflesiaceae
Bruguiera,Combretaceae
Brya,Chrysobalanaceae
Calophyllum,Calophyllaceae
Cedrus,Meliaceae
Condalia,Rubiaceae
Crepidophyllum,Hymenophyllaceae
Cyrtanthus,Rubiaceae
Darcya,Solanaceae
Dianthera,Cleomaceae
Ditrichum,Compositae
Donax,Poaceae
Drummondia,Saxifragaceae
Dryopteris,Pteridaceae
Dunalia,Araceae
Dusenia,Compositae
Duvalia,Leguminosae
Eria,Ericaceae
Erucaria,Poaceae
Eustegia,Melastomataceae
Filicula,Woodsiaceae
Flemingia,Rubiaceae
Froelichia,Rubiaceae
Gastrochilus,Zingiberaceae
Gerardia,Acanthaceae
Gertrudia,Flacourtiaceae
Gymnotheca,Marattiaceae
Haemanthus,Asparagaceae
Hedwigia,Burseraceae
Helicophyllum,Araceae
Heliohebe,Scrophulariaceae
Hepatica,Conocephalaceae
Heteroneurum,Lomariopsidaceae
Honckenya,Malvaceae
Hornschuchia,Sapotaceae
Hutchinsonia,Compositae
Hymenolepis,Polypodiaceae
Joannesia,Compositae
Jonesia,Leguminosae
Leptopyrum,Poaceae
Lichtensteinia,Loranthaceae
Lightfootia,Bixaceae
Lophiocarpus,Alismataceae
Lopholepis,Polypodiaceae
Lumnitzera,Lamiaceae
Mammea,Clusiaceae
Manettia,Scrophulariaceae
Mannia,Simaroubaceae
Meeboldia,Capparaceae
Mertensia,Gleicheniaceae
Meyenia,Acanthaceae
Meyenia,Cactaceae
Micranthus,Acanthaceae
Myzorrhiza,Scrophulariaceae
Neesia,Compositae
Nivenia,Proteaceae
Odontitella,Scrophulariaceae
Onychium,Orchidaceae
Pachypodium,Brassicaceae
Panzeria,Lamiaceae
Parmentiera,Solanaceae
Piquetia,Aizoaceae
Platyloma,Pteridaceae
Pleuridium,Polypodiaceae
Razoumofskya,Loranthaceae
Reinwardtia,Convolvulaceae
Rhacoma,Compositae
Richardia,Compositae
Richea,Ericaceae
Roemeria,Poaceae
Roscoea,Lamiaceae
Roylea,Poaceae
Schrebera,Celastraceae
Sebastiania,Compositae
Silvia,Lauraceae
Solena,Rubiaceae
Solenopsis,Solanaceae
Spiranthera,Convolvulaceae
Spirostachys,Amaranthaceae
Stipularia,Ranunculaceae
Thomandersia,Thomandersiaceae
Tillandsia,Asparagaceae
Trichocyclus,Aizoaceae
Uncaria,Pedaliaceae
Urtica,Moraceae
Usteria,Euphorbiaceae
Wahlenbergia,Compositae
Waitzia,Iridaceae
Webera,Rubiaceae
Wedelia,Nyctaginaceae
Welwitschia,Polemoniaceae
Wettsteinia,Compositae
Wiborgia,Compositae
Wilhelmsia,Poaceae
Ziziphus,Cannabaceae
Petagnia,Apiaceae
Gilibertia,Araliaceae
Bonapartea,Asparagaceae
Phalangium,Asparagaceae
Phalangium,Iridaceae
Phalangium,Xanthorrhoeaceae
Kaulfussia,Compositae
Myconia,Compositae
Omalanthus,Compositae
Banalia,Amaranthaceae
Acetosella,Polygonaceae
Rhynchocarpa,Cucurbitaceae
Candollea,Dilleniaceae
Rostellaria,Sapotaceae
Rhynchocarpa,Leguminosae
Cynoctonum,Apocynaceae
Goeppertia,Gentianaceae
Cynoctonum,Loganiaceae
Griffithia,Rubiaceae
Rostellaria,Acanthaceae
Myconia,Gesneriaceae
Zappania,Lamiaceae
Moniera,Plantaginaceae
Zappania,Verbenaceae
Goeppertia,Lauraceae
Griffithia,Annonaceae
Atomostigma,Chrysobalanaceae
Cycnia,Chrysobalanaceae
Banalia,Euphorbiaceae
Omalanthus,Euphorbiaceae
Guidonia,Flacourtiaceae
Tulasnea,Podostemaceae
Guidonia,Salicaceae
Tulasnea,Melastomataceae
Acetosella,Oxalidaceae
Bonapartea,Bromeliaceae
Atomostigma,Rosaceae
Cycnia,Rosaceae
Gilibertia,Meliaceae
Moniera,Rutaceae
Petagnia,Solanaceae
Kaulfussia,Marattiaceae
Candollea,Polypodiaceae
